,geoLevel1,geoLevel2,SERIAL,PUMA,WGTP,geoLevel0,NP,Long,Lat,serialSynth
561,1,10100,422302,104,0,11,1,-76.99379427,38.86101114,422302-5
1410,1,9803,1395733,103,0,11,1,-76.96178474,38.89960186,1395733-2
144,1,8410,317872,104,53,11,2,-76.97345892,38.88722733,317872-2
682,1,1902,1091815,101,86,11,4,-77.01535864,38.82993793,1091815-2
1077,1,9602,981322,105,87,11,1,-77.03645978,38.83502425,981322-3
568,1,9601,927997,105,232,11,1,-76.98451967,38.87110912,927997-1
1186,1,9504,1196409,105,0,11,1,-76.99350585,38.86525852,1196409-1
1207,1,9907,1404320,102,63,11,1,-76.98784225,38.90319886,1404320-1
1349,1,10100,1027159,104,106,11,1,-76.99149445,38.86241761,1027159-5
909,1,9907,1095227,102,50,11,1,-76.98823613,38.9036886,1095227-2
976,1,4300,678787,103,69,11,2,-76.98891099,38.86647662,678787-3
568,1,8301,612166,101,91,11,1,-76.97040994,38.92350419,612166-5
110,1,8903,88074,105,94,11,2,-76.98146358,38.90297846,88074-3
78,1,8301,106794,101,0,11,1,-76.97103274,38.91412555,106794-3
216,1,8410,465900,104,61,11,4,-76.97348804,38.88371232,465900-1
1171,1,9907,1362934,102,115,11,6,-76.98230974,38.90365045,1362934-3
1265,1,9203,1311029,104,68,11,2,-76.97866657,38.907414,1311029-2
441,1,8410,981376,104,145,11,2,-76.9752412,38.88545527,981376-1
478,1,4300,378099,103,78,11,1,-76.98838206,38.86561436,378099-1
17,1,9602,8400,105,0,11,1,-77.02509468,38.82052146,8400-3
851,1,8301,897073,101,100,11,1,-76.97520727,38.9165777,897073-2
549,1,9203,568064,104,69,11,2,-76.97887625,38.91004872,568064-1
739,1,8903,702908,105,52,11,4,-76.97793759,38.90645254,702908-3
1137,1,1901,975058,104,81,11,1,-77.00640467,38.84475695,975058-1
969,1,6600,1123457,104,72,11,1,-76.9613815,38.8955839,1123457-1
253,1,9602,211013,105,0,11,1,-77.03575659,38.83385573,211013-1
383,1,9907,484059,102,189,11,6,-76.98503872,38.90542868,484059-2
201,1,9203,222509,104,85,11,1,-76.98599305,38.90711216,222509-3
903,1,9203,980330,104,59,11,1,-76.98058533,38.90603045,980330-1
100,1,1901,82129,104,0,11,1,-77.00023034,38.85276325,82129-2
87,1,8903,83504,105,80,11,1,-76.98101389,38.90268261,83504-1
985,1,9203,1063338,104,60,11,3,-76.97702701,38.9128083,1063338-3
195,1,9601,292105,105,0,11,1,-76.98691244,38.86828386,292105-2
1241,1,9203,1295116,104,76,11,4,-76.97710246,38.91454421,1295116-2
704,1,9203,740990,104,84,11,1,-76.97611952,38.91332055,740990-4
67,1,8410,149389,104,83,11,1,-76.96397152,38.89250729,149389-2
978,1,9203,1057454,104,61,11,1,-76.97898232,38.91335415,1057454-2
1396,1,8903,1322339,105,64,11,1,-76.97886066,38.90683053,1322339-2
1010,1,9602,958159,105,58,11,2,-77.03636688,38.83102842,958159-1
1314,1,9203,1367802,104,70,11,4,-76.98182995,38.90511387,1367802-2
1127,1,9504,1117554,105,127,11,2,-76.9895114,38.86790462,1117554-1
1150,1,9203,1197551,104,92,11,2,-76.98031474,38.91309997,1197551-7
87,1,9602,65056,105,77,11,2,-77.03408045,38.82433985,65056-2
557,1,8410,1219288,104,121,11,3,-76.97203845,38.88327896,1219288-1
531,1,9504,510241,105,89,11,1,-76.9966691,38.85832149,510241-4
878,1,9203,956708,104,195,11,3,-76.98271988,38.90875407,956708-1
1939,1,4300,1347499,103,47,11,3,-76.98991068,38.86327855,1347499-4
699,1,8301,744150,101,0,11,1,-76.9673612,38.92339004,744150-2
1129,1,7304,1096650,105,73,11,1,-77.03117537,38.81886339,1096650-2
153,1,9602,101485,105,79,11,2,-77.0418851,38.83831828,101485-3
1011,1,9504,979147,105,64,11,1,-76.98994445,38.87032377,979147-3
71,1,9601,94704,105,0,11,1,-76.98472114,38.87240697,94704-1
1115,1,9203,1164777,104,87,11,3,-76.98072194,38.91137956,1164777-2
805,1,2202,781866,103,0,11,1,-76.95765898,38.92810438,781866-2
592,1,8903,566439,105,64,11,2,-76.97914894,38.90607552,566439-2
1210,1,9203,1251425,104,120,11,2,-76.98066097,38.90956524,1251425-3
651,1,8903,616005,105,91,11,2,-76.9792299,38.90567431,616005-1
371,1,9504,348448,105,227,11,1,-76.99252573,38.86405235,348448-1
846,1,4300,603451,103,63,11,4,-76.99062193,38.86525796,603451-2
492,1,2202,485963,103,75,11,4,-76.95743749,38.92883219,485963-1
160,1,8410,344226,104,0,11,1,-76.97105364,38.88620593,344226-2
1023,1,4300,702180,103,61,11,2,-76.99031114,38.86305071,702180-5
1161,1,7304,1145771,105,0,11,1,-77.03131387,38.80032052,1145771-1
961,1,9907,1145928,102,64,11,3,-76.98764182,38.90382497,1145928-4
436,1,9203,458542,104,102,11,2,-76.9811883,38.90583477,458542-3
382,1,4300,316711,103,62,11,1,-76.99186384,38.86443347,316711-5
1350,1,9203,1401686,104,87,11,2,-76.97712311,38.91114533,1401686-5
1458,1,9602,1355945,105,95,11,1,-77.04379083,38.83622709,1355945-2
855,1,9504,874950,105,0,11,1,-76.99615568,38.85905588,874950-1
717,1,9203,769225,104,113,11,1,-76.97919887,38.90711985,769225-1
358,1,8410,769225,104,113,11,1,-76.9667234,38.89116578,769225-2
389,1,4300,317335,103,90,11,5,-76.99155096,38.86569845,317335-4
271,1,8410,588938,104,172,11,2,-76.96774623,38.88879672,588938-1
50,1,4300,43991,103,59,11,2,-76.99035075,38.86310696,43991-2
888,1,1901,760203,104,54,11,2,-77.00624711,38.84328686,760203-3
169,1,9601,262778,105,74,11,1,-76.98597861,38.87104931,262778-2
750,1,9203,811622,104,108,11,1,-76.97759122,38.91217678,811622-3
689,1,7304,693823,105,93,11,1,-77.03279897,38.79685393,693823-1
547,1,9203,562463,104,170,11,1,-76.98217301,38.90776362,562463-1
257,1,9907,314010,102,65,11,1,-76.98465459,38.90333479,314010-2
1038,1,2202,1013459,103,83,11,4,-76.95863049,38.92694716,1013459-2
95,1,9203,104882,104,353,11,2,-76.98202557,38.90861678,104882-1
808,1,1902,1255046,101,70,11,2,-77.01357733,38.83058513,1255046-1
1175,1,9907,1373630,102,76,11,1,-76.98186275,38.90382507,1373630-1
496,1,2202,491671,103,0,11,1,-76.95969549,38.92511756,491671-4
227,1,9203,250356,104,0,11,1,-76.98511841,38.90823947,250356-1
1072,1,9203,1127769,104,66,11,3,-76.97660376,38.91249168,1127769-4
288,1,9504,257939,105,92,11,1,-76.99627519,38.86028294,257939-2
439,1,9601,719534,105,169,11,1,-76.98442465,38.87169915,719534-1
544,1,10100,411653,104,110,11,4,-76.99159089,38.86285748,411653-3
548,1,9907,716784,102,77,11,1,-76.98592523,38.90314526,716784-5
1193,1,9907,1393918,102,194,11,2,-76.98835349,38.90355643,1393918-1
1016,1,9907,1216138,102,120,11,2,-76.98325797,38.90272032,1216138-1
459,1,1901,415448,104,71,11,1,-77.00740505,38.84178477,415448-1
780,1,3200,646490,105,60,11,4,-76.96564104,38.93419698,646490-4
822,1,2202,791528,103,65,11,5,-76.95929791,38.92837396,791528-1
186,1,9907,266984,102,71,11,3,-76.98821213,38.9042106,266984-2
1081,1,8301,1226493,101,67,11,1,-76.97698561,38.91025064,1226493-2
398,1,9602,348448,105,227,11,1,-77.01708438,38.83087039,348448-6
887,1,8301,939780,101,94,11,4,-76.96242907,38.93021327,939780-1
1237,1,8903,1196409,105,0,11,1,-76.97905736,38.90577164,1196409-1
842,1,9602,824541,105,154,11,3,-77.03831257,38.82370689,824541-2
753,1,9907,957091,102,137,11,2,-76.98524481,38.90430454,957091-1
401,1,8903,354350,105,62,11,1,-76.98120207,38.90335529,354350-1
540,1,9907,715744,102,91,11,1,-76.98254777,38.9022842,715744-2
88,1,1902,183059,101,0,11,1,-77.01105259,38.83633453,183059-5
155,1,9907,206510,102,70,11,3,-76.98652337,38.90521271,206510-2
1106,1,9203,1160048,104,123,11,2,-76.98310785,38.90642992,1160048-2
852,1,9602,827913,105,0,11,1,-77.01520964,38.83479094,827913-3
202,1,9203,223414,104,76,11,3,-76.97879605,38.9106174,223414-1
166,1,7304,157528,105,116,11,1,-77.0259741,38.81431426,157528-4
1377,1,8903,1301069,105,110,11,1,-76.97974897,38.90415067,1301069-1
451,1,9602,391102,105,85,11,1,-77.04717826,38.84076175,391102-4
253,1,4300,204436,103,80,11,4,-76.98815343,38.86576741,204436-1
868,1,9907,1070928,102,0,11,1,-76.98633385,38.9025763,1070928-2
670,1,2202,666444,103,49,11,2,-76.95814524,38.92827174,666444-1
908,1,2202,867737,103,71,11,1,-76.96166337,38.92323326,867737-3
897,1,9203,976870,104,384,11,1,-76.97743163,38.91103348,976870-1
942,1,9907,1118140,102,66,11,3,-76.98529461,38.90145705,1118140-4
394,1,6600,477971,104,60,11,1,-76.9626775,38.89220909,477971-2
964,1,9203,1042995,104,58,11,3,-76.98018708,38.90802362,1042995-4
639,1,7304,641882,105,78,11,2,-77.03681334,38.81846746,641882-1
65,1,8301,87088,101,43,11,2,-76.95725809,38.90800973,87088-4
614,1,9203,633136,104,109,11,3,-76.98238975,38.90581704,633136-3
120,1,9203,144267,104,75,11,2,-76.97664593,38.91254729,144267-1
1353,1,7304,1336479,105,0,11,1,-77.03008655,38.79949115,1336479-1
154,1,2202,177453,103,171,11,2,-76.96217952,38.92375327,177453-3
424,1,9203,456510,104,88,11,1,-76.98310841,38.91049439,456510-1
441,1,7304,407786,105,71,11,2,-77.03870116,38.81799478,407786-1
352,1,8410,744509,104,62,11,2,-76.97390812,38.88662575,744509-3
1,1,9601,2821,105,70,11,3,-76.98758998,38.87040703,2821-1
1265,1,9602,1196409,105,0,11,1,-77.02209118,38.82376052,1196409-2
478,1,9907,651364,102,55,11,3,-76.98359786,38.90244754,651364-1
432,1,4300,343867,103,49,11,3,-76.99125096,38.8638174,343867-1
49,1,9504,52132,105,0,11,1,-76.98968572,38.86770053,52132-2
1119,1,9602,1011570,105,95,11,1,-77.03707958,38.8334371,1011570-3
585,1,8903,561899,105,52,11,2,-76.97805134,38.90633501,561899-2
137,1,9203,155228,104,58,11,5,-76.98162297,38.9102808,155228-2
471,1,9203,491338,104,47,11,1,-76.97995116,38.91352563,491338-4
384,1,4300,317053,103,47,11,2,-76.98824054,38.86713265,317053-2
757,1,9203,818069,104,132,11,2,-76.98070903,38.9054241,818069-5
960,1,4300,676754,103,55,11,1,-76.99200741,38.86466406,676754-4
241,1,10100,186812,104,66,11,2,-76.99404551,38.8606927,186812-2
375,1,9504,349691,105,54,11,1,-76.99411575,38.86244317,349691-3
1331,1,1901,1126548,104,213,11,1,-76.99751551,38.8558916,1126548-6
548,1,9203,562463,104,170,11,1,-76.98562789,38.90750971,562463-2
1145,1,9203,1197551,104,92,11,2,-76.98105434,38.91313938,1197551-2
1640,1,4300,1162969,103,72,11,1,-76.99013121,38.86388076,1162969-3
396,1,9504,372965,105,0,11,1,-76.98865603,38.86892294,372965-1
75,1,7304,69887,105,83,11,1,-77.03468195,38.81565077,69887-2
852,1,8903,825123,105,264,11,2,-76.98081082,38.90310704,825123-5
57,1,8301,75475,101,66,11,2,-76.96566374,38.92630671,75475-1
665,1,8903,627456,105,61,11,3,-76.98138608,38.90291566,627456-3
14,1,9907,24774,102,49,11,3,-76.98135345,38.90346277,24774-2
871,1,9203,947805,104,101,11,2,-76.98263797,38.90741885,947805-1
68,1,10100,41823,104,81,11,10,-76.99208266,38.86276685,41823-4
1051,1,9504,1016149,105,196,11,1,-76.99630896,38.85981169,1016149-1
229,1,9601,366237,105,79,11,2,-76.98572707,38.87126824,366237-2
1357,1,1600,1108285,102,129,11,1,-76.95577907,38.90888982,1108285-2
526,1,9907,705816,102,92,11,2,-76.98414476,38.90236814,705816-2
1451,1,9602,1338815,105,138,11,1,-77.03404941,38.82651362,1338815-6
1401,1,10100,1063338,104,60,11,3,-76.99114609,38.86278191,1063338-2
878,1,8903,846584,105,74,11,1,-76.97859286,38.90693796,846584-1
771,1,9203,836620,104,53,11,2,-76.97836978,38.90858503,836620-2
437,1,9907,600459,102,68,11,1,-76.98331623,38.90370127,600459-3
466,1,9203,489564,104,88,11,1,-76.9814181,38.91162766,489564-1
189,1,8301,247849,101,90,11,2,-76.96227519,38.93094031,247849-2
777,1,9504,814269,105,0,11,1,-76.98842192,38.86862529,814269-3
444,1,9602,387509,105,38,11,2,-77.03484045,38.83939418,387509-4
690,1,9601,1111969,105,79,11,1,-76.98663428,38.86961377,1111969-2
1053,1,8903,978424,105,103,11,1,-76.97872785,38.90662455,978424-4
528,1,9203,546577,104,66,11,1,-76.98315943,38.90955469,546577-1
568,1,9602,530746,105,0,11,1,-77.03682187,38.82886238,530746-2
55,1,1902,128207,101,86,11,4,-77.01523703,38.82875947,128207-1
1349,1,2202,1280503,103,55,11,2,-76.96258801,38.92500313,1280503-2
596,1,9203,615387,104,87,11,1,-76.98623251,38.90677385,615387-3
352,1,9907,464241,102,93,11,1,-76.98765444,38.90455774,464241-1
663,1,2202,657030,103,47,11,1,-76.96337779,38.9247478,657030-1
825,1,9203,913449,104,58,11,2,-76.98224439,38.91108455,913449-1
1307,1,9203,1361063,104,73,11,7,-76.97832797,38.91205515,1361063-1
120,1,6600,140227,104,55,11,1,-76.96118965,38.89648109,140227-2
1108,1,9203,1162698,104,59,11,1,-76.97808828,38.91472804,1162698-1
346,1,9907,461623,102,240,11,3,-76.98609241,38.90398997,461623-1
676,1,8301,720573,101,104,11,1,-76.96521466,38.92116602,720573-1
769,1,9504,801889,105,0,11,1,-76.99146563,38.86798619,801889-2
26,1,9203,29152,104,242,11,1,-76.98162797,38.90947808,29152-1
208,1,7304,191326,105,73,11,3,-77.03499093,38.81567418,191326-1
11,1,9203,7729,104,73,11,2,-76.98257432,38.90771174,7729-4
1362,1,9602,1278249,105,75,11,2,-77.03951805,38.83741069,1278249-3
1042,1,9907,1227273,102,68,11,1,-76.98600598,38.90361911,1227273-5
1401,1,2202,1337616,103,180,11,2,-76.95802403,38.92882876,1337616-2
691,1,9602,665474,105,90,11,1,-77.03263418,38.83556192,665474-2
1353,1,9203,1404719,104,133,11,1,-76.97993155,38.91294529,1404719-2
1909,1,4300,1326589,103,181,11,1,-76.99078296,38.86484391,1326589-3
1088,1,9907,1279322,102,115,11,3,-76.9831826,38.90237925,1279322-3
686,1,8903,651915,105,0,11,1,-76.97983477,38.90403664,651915-3
1042,1,7304,981322,105,87,11,1,-77.03034119,38.79931513,981322-2
9,1,9203,7729,104,73,11,2,-76.97821527,38.91043394,7729-2
60,1,8410,137101,104,0,11,1,-76.9707341,38.88633329,137101-1
344,1,9504,315076,105,133,11,2,-76.99460324,38.8588342,315076-4
964,1,8903,921878,105,56,11,3,-76.98192428,38.90192124,921878-4
1140,1,9907,1326992,102,130,11,1,-76.9865941,38.9057061,1326992-5
1250,1,9602,1184955,105,0,11,1,-77.0220485,38.82802021,1184955-2
675,1,9203,699926,104,64,11,2,-76.98024334,38.91331711,699926-1
609,1,8301,657256,101,0,11,1,-76.97828039,38.91813551,657256-4
580,1,4300,429060,103,204,11,3,-76.99019099,38.8652517,429060-2
1150,1,9907,1346498,102,96,11,1,-76.98428741,38.90253657,1346498-2
425,1,8301,486872,101,202,11,2,-76.96439959,38.92766325,486872-1
1256,1,7304,1253853,105,85,11,3,-77.02625837,38.81855549,1253853-2
781,1,9203,839409,104,64,11,6,-76.9794959,38.90625172,839409-3
251,1,4300,204174,103,0,11,1,-76.98802422,38.86633639,204174-2
1188,1,9907,1381685,102,72,11,1,-76.98411588,38.90361704,1381685-4
989,1,7304,961165,105,45,11,2,-77.02700171,38.816198,961165-4
625,1,8301,668060,101,83,11,1,-76.96559251,38.92499879,668060-1
85,1,7304,83504,105,80,11,1,-77.0224515,38.82045573,83504-2
773,1,9907,982871,102,155,11,2,-76.9826912,38.90191418,982871-1
308,1,9601,501601,105,67,11,2,-76.9819516,38.87262752,501601-1
868,1,9602,842275,105,59,11,1,-77.04005165,38.83340675,842275-1
442,1,9203,467677,104,41,11,3,-76.98141756,38.90962259,467677-1
880,1,9907,1075843,102,57,11,1,-76.98590606,38.9059964,1075843-5
1126,1,9203,1176830,104,80,11,1,-76.98332107,38.90722187,1176830-1
597,1,7304,586857,105,0,11,1,-77.02665328,38.80684355,586857-1
69,1,9203,78816,104,177,11,2,-76.97864244,38.91333605,78816-1
436,1,4300,346421,103,115,11,1,-76.98843421,38.86640067,346421-1
1465,1,8903,1389857,105,0,11,1,-76.97943336,38.9045251,1389857-2
1056,1,2202,1025733,103,48,11,1,-76.9627802,38.92668733,1025733-1
1285,1,2202,1233401,103,66,11,2,-76.96250613,38.92642741,1233401-1
1322,1,1600,1092220,102,115,11,1,-76.94234101,38.91782813,1092220-2
1772,1,4300,1241972,103,59,11,2,-76.98896603,38.86775039,1241972-3
293,1,9203,338499,104,98,11,2,-76.97966608,38.90701937,338499-1
830,1,9203,913449,104,58,11,2,-76.98131897,38.91363487,913449-6
1084,1,9203,1138968,104,69,11,5,-76.98330644,38.91090014,1138968-3
730,1,9602,709935,105,94,11,1,-77.04260395,38.83704141,709935-2
516,1,9203,525115,104,173,11,1,-76.97724708,38.91095176,525115-2
208,1,9601,330700,105,0,11,1,-76.98889213,38.87087248,330700-4
708,1,9601,1133827,105,102,11,2,-76.98483235,38.87278975,1133827-3
1871,1,10100,1390199,104,64,11,2,-76.99348878,38.85965058,1390199-1
787,1,9907,993791,102,78,11,1,-76.98673338,38.90468521,993791-6
2048,1,4300,1410120,103,75,11,4,-76.98950456,38.86737009,1410120-1
392,1,9601,651915,105,0,11,1,-76.98686904,38.86903944,651915-2
1331,1,9203,1385554,104,86,11,1,-76.98084816,38.90648859,1385554-1
1224,1,9203,1290830,104,175,11,1,-76.98608848,38.90758108,1290830-2
982,1,8301,1097474,101,82,11,1,-76.97502567,38.9156341,1097474-2
234,1,9907,300456,102,54,11,3,-76.98767891,38.90252106,300456-3
256,1,9504,229635,105,169,11,1,-76.99331151,38.86389517,229635-2
1334,1,10100,1013610,104,136,11,1,-76.99077998,38.86274645,1013610-1
819,1,8301,856120,101,0,11,1,-76.97321179,38.91738304,856120-1
492,1,8410,1085220,104,58,11,1,-76.97419347,38.88281672,1085220-1
1214,1,9203,1271356,104,99,11,1,-76.979072,38.91133502,1271356-2
205,1,9602,164347,105,57,11,2,-77.03127259,38.82755139,164347-3
531,1,7304,522788,105,0,11,1,-77.03776444,38.81853837,522788-1
937,1,9504,934891,105,61,11,2,-76.99348759,38.86273416,934891-3
426,1,9601,709588,105,48,11,1,-76.98848816,38.87036538,709588-1
280,1,9203,325889,104,117,11,1,-76.97705181,38.91168201,325889-4
1333,1,10100,1011944,104,0,11,1,-76.991394,38.8623823,1011944-4
292,1,9203,335003,104,80,11,2,-76.98082281,38.90821301,335003-3
731,1,9203,792599,104,63,11,1,-76.98007832,38.91153205,792599-2
490,1,8903,440514,105,83,11,2,-76.97908566,38.90607794,440514-1
1248,1,9203,1299166,104,73,11,1,-76.98258638,38.90721515,1299166-3
1107,1,9203,1160048,104,123,11,2,-76.97799252,38.90930556,1160048-3
688,1,9203,726895,104,0,11,1,-76.98006733,38.90834009,726895-3
20,1,9602,9160,105,74,11,1,-77.03210439,38.82468737,9160-1
508,1,8301,566328,101,80,11,3,-76.97105071,38.92212069,566328-3
1355,1,9203,1406612,104,89,11,4,-76.97942276,38.91551552,1406612-1
815,1,9203,900478,104,64,11,4,-76.97570489,38.91356814,900478-1
469,1,10100,355173,104,121,11,4,-76.99343044,38.86058845,355173-4
1301,1,2202,1251926,103,62,11,1,-76.96294862,38.92443064,1251926-1
684,1,9907,883228,102,81,11,1,-76.98205686,38.90244984,883228-4
1169,1,9907,1362934,102,115,11,6,-76.9839476,38.90020519,1362934-1
174,1,8301,229458,101,77,11,2,-76.977199,38.90866164,229458-1
396,1,1902,624200,101,112,11,2,-77.0120197,38.83330999,624200-1
923,1,7304,918670,105,87,11,2,-77.02059921,38.8202107,918670-1
698,1,9601,1121982,105,123,11,2,-76.98445249,38.86932893,1121982-1
56,1,9602,39684,105,67,11,2,-77.01767298,38.82842524,39684-2
1369,1,9504,1374696,105,192,11,1,-76.99530564,38.86094216,1374696-2
1103,1,8301,1256919,101,132,11,1,-76.96943379,38.91773183,1256919-7
445,1,4300,347907,103,65,11,2,-76.98954086,38.86683958,347907-3
982,1,9203,1060035,104,76,11,2,-76.98221378,38.90954434,1060035-2
1131,1,8301,1281230,101,250,11,2,-76.96391873,38.93002057,1281230-1
405,1,8301,467640,101,66,11,3,-76.97630959,38.9080959,467640-2
289,1,9907,367672,102,71,11,2,-76.9875956,38.90266098,367672-1
108,1,9602,74787,105,62,11,1,-77.03310537,38.83190801,74787-1
1376,1,9504,1377265,105,0,11,1,-76.99208712,38.86715242,1377265-4
201,1,9907,272291,102,67,11,2,-76.98236601,38.90318953,272291-1
934,1,8903,909820,105,79,11,2,-76.97776394,38.90669422,909820-3
1173,1,9203,1227675,104,0,11,1,-76.98132258,38.90912707,1227675-1
1068,1,9602,978871,105,332,11,1,-77.01683537,38.82973104,978871-1
39,1,1902,79008,101,75,11,2,-77.01154303,38.8357385,79008-3
968,1,9203,1052771,104,74,11,2,-76.98067077,38.90647962,1052771-1
1274,1,9602,1213697,105,61,11,1,-77.04594071,38.83926692,1213697-2
135,1,8410,310006,104,151,11,2,-76.9751981,38.88570255,310006-1
27,1,9504,29044,105,60,11,1,-76.9929641,38.86566561,29044-2
1206,1,9907,1404129,102,74,11,1,-76.98473025,38.90429278,1404129-1
1115,1,9907,1309973,102,87,11,4,-76.98258684,38.90342074,1309973-2
609,1,9803,620012,103,51,11,2,-76.96029832,38.90124485,620012-1
769,1,9203,835709,104,107,11,1,-76.98166784,38.91204803,835709-4
1138,1,9907,1326992,102,130,11,1,-76.98264124,38.90182092,1326992-3
910,1,9907,1095227,102,50,11,1,-76.98513675,38.90090025,1095227-3
322,1,8410,691263,104,208,11,1,-76.97148043,38.88743374,691263-1
887,1,8903,859427,105,76,11,1,-76.98133267,38.90235462,859427-1
1334,1,9504,1336547,105,79,11,1,-76.99124678,38.86620741,1336547-1
847,1,9203,923379,104,72,11,1,-76.97971625,38.91470431,923379-4
540,1,7304,530746,105,0,11,1,-77.02766441,38.80094198,530746-1
593,1,10100,445802,104,99,11,1,-76.99366828,38.85943329,445802-2
1124,1,10100,858994,104,68,11,2,-76.99390896,38.86024749,858994-2
606,1,9203,629437,104,80,11,1,-76.97874716,38.91556026,629437-2
1118,1,4300,750334,103,62,11,5,-76.98975918,38.8669336,750334-1
1079,1,9907,1260781,102,86,11,3,-76.9858382,38.90335337,1260781-4
106,1,2202,123525,103,63,11,1,-76.96219758,38.92692832,123525-1
649,1,9203,666623,104,77,11,2,-76.9781002,38.91630544,666623-3
12,1,8301,15080,101,79,11,4,-76.96930094,38.92604136,15080-2
1095,1,4300,740937,103,65,11,4,-76.99025985,38.86631641,740937-1
856,1,9203,929631,104,70,11,1,-76.97995577,38.90653307,929631-4
384,1,9504,366237,105,79,11,2,-76.99430312,38.85983155,366237-1
575,1,9907,744536,102,68,11,2,-76.9826896,38.90406481,744536-2
506,1,9203,516429,104,85,11,2,-76.97700228,38.91508843,516429-2
